vCrop,climate,CAPRI_NUTSII,nuts2,RCP,CO2_level,representative.median
Barley,isimip_clim,DE110000,DE11,RCP8.5,elev,30.9093865028531
Barley,isimip_clim,DE110000,DE11,RCP6.0,amb,4.24346793777383
Barley,isimip_clim,DE110000,DE11,RCP2.6,amb,5.40673108730624
Barley,isimip_clim,DE110000,DE11,RCP4.5,elev,22.1222241690487
Barley,isimip_clim,DE110000,DE11,RCP2.6,elev,17.9192506652002
Barley,isimip_clim,DE110000,DE11,RCP8.5,amb,1.55913052132274
Barley,isimip_clim,DE120000,DE12,RCP4.5,elev,20.1025297667028
Barley,isimip_clim,DE120000,DE12,RCP2.6,elev,15.5729406504532
Barley,isimip_clim,DE120000,DE12,RCP2.6,amb,3.62381445684405
Barley,isimip_clim,DE120000,DE12,RCP4.5,amb,1.75291176478687
Barley,isimip_clim,DE120000,DE12,RCP6.0,elev,21.0133098672923
Barley,isimip_clim,DE120000,DE12,RCP8.5,amb,1.42604591917518
Barley,isimip_clim,DE120000,DE12,RCP8.5,elev,28.0236166353343
Barley,isimip_clim,DE120000,DE12,RCP6.0,amb,2.50071722676724
Barley,isimip_clim,DE130000,DE13,RCP2.6,amb,3.14465411163983
Barley,isimip_clim,DE130000,DE13,RCP6.0,amb,3.62849923857206
Barley,isimip_clim,DE130000,DE13,RCP6.0,elev,20.761036042565
Barley,isimip_clim,DE130000,DE13,RCP4.5,elev,19.4554606971405
Barley,isimip_clim,DE130000,DE13,RCP2.6,elev,14.6542044199773
Barley,isimip_clim,DE130000,DE13,RCP8.5,elev,27.4063291237936
Barley,isimip_clim,DE130000,DE13,RCP4.5,amb,1.6802890546896
Barley,isimip_clim,DE130000,DE13,RCP8.5,amb,1.08165569798795
Barley,isimip_clim,DE140000,DE14,RCP2.6,elev,17.1132726669026
Barley,isimip_clim,DE140000,DE14,RCP2.6,amb,5.0249939048143
Barley,isimip_clim,DE140000,DE14,RCP6.0,amb,4.16929654615243
Barley,isimip_clim,DE140000,DE14,RCP8.5,amb,1.08456542540581
Barley,isimip_clim,DE140000,DE14,RCP4.5,elev,21.8274391732913
Barley,isimip_clim,DE140000,DE14,RCP4.5,amb,2.85468081937868
Barley,isimip_clim,DE140000,DE14,RCP8.5,elev,28.0763330379703
Barley,isimip_clim,DE140000,DE14,RCP6.0,elev,23.0644801644445
Barley,isimip_clim,DE210000,DE21,RCP4.5,amb,2.88958328319583
